IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Product Code;Usage Type;[lineItem/Operation];"lineItem/
LineItemDescription";;;
Cloud Services;Machine Learning;Amazon Machine Learning;TrainModel;Box Usage;AmazonML;%AMLBoxUsage;TrainModel;;;;
Cloud Services;Machine Learning;Amazon Machine Learning;EvaluateModel;Box Usage;AmazonML;%AMLBoxUsage;EvaluateModel;;;;
Database;Database;Amazon Redshift;RA Instances;Nodes;AmazonRedshift;%Node:ra%;;;;;
Database;Database;Amazon Redshift;Redshift Managed Storage;Managed Storage;AmazonRedshift;%RMS%;;;;;
Database;Database;Amazon Redshift;RedShift Spectrum;Data Scanned;AmazonRedshift;%DataScanned%;;;;;
Database;Database;Amazon Redshift;DC Instances;Nodes;AmazonRedshift;%Node:dc%;;;;;
Database;Database;Amazon Redshift;DS Instances;Nodes;AmazonRedshift;%Node:ds%;;;;;
Compute;Machine Learning;Amazon Transcribe;Streaming Audio;Streaming;transcribe;%StreamingAudio;%StreamingAudio;;;;
Compute;Machine Learning;Amazon Transcribe;Transcribe Audio;Transcription;transcribe;%TranscribeAudio;TranscribeAudio;;;;
Cloud Services;Machine Learning;Amazon Polly;TTS;Characters Convertation;AmazonPolly;;;;;;
Cloud Services;Developer Tools;AWS CodeBuild;Code Build;Development;CodeBuild;;;;;;
Cloud Services;Developer Tools;AWS CodePipeline;Additional Costs;Tax;AWSCodePipeline;;;Tax%;;;
Cloud Services;Developer Tools;AWS CodePipeline;Trial;Pipeline;AWSCodePipeline;%trialPipeline%;;;;;
Compute;Machine Learning;Amazon Translate;Translate Text;Translation;translate;%TranslateText;;;;;
Cloud Services;Security and Identity;AWS Directory Service;Additional Costs;Tax;AWSDirectoryService;;;Tax%;;;
Cloud Services;Security and Identity;AWS Directory Service;Microsoft Active Directory;Domain Controller Usage;AWSDirectoryService;%MicrosoftAD-DC-Usage;;;;;
Cloud Services;Security and Identity;AWS Directory Service;Simple AD;Directory Usage;AWSDirectoryService;%SimpleAD-Usage;;;;;
Cloud Services;Security and Identity;AWS Directory Service;Simple AD;Small Directory Usage;AWSDirectoryService;%Small-Directory-Usage;;;;;
Cloud Services;Security and Identity;AWS Directory Service;Simple AD;Connector Usage;AWSDirectoryService;%Large-ADConnector-Usage;;;;;
Storage;Storage&Content Delivery;Amazon Simple Storage Service;Glacier Deep Archive storage;Early Delete Fee;AmazonS3;%EarlyDelete-GDA;;;;;
Storage;Storage&Content Delivery;Amazon Simple Storage Service;Intelligent-Tiering storage;Early Delete Fee;AmazonS3;%EarlyDelete-INT;;;;;
Storage;Storage&Content Delivery;Amazon Simple Storage Service;One Zone-IA Storage;Early Delete Fee;AmazonS3;%EarlyDelete-ZIA%;;;;;
Storage;Storage&Content Delivery;Amazon Simple Storage Service;Standard-IA Storage;Early Delete Fee;AmazonS3;%EarlyDelete-SIA%;;;;;
Storage;Storage&Content Delivery;Amazon Simple Storage Service;Storage Classes;Requests;AmazonS3;%Requests%Tier1;;;;;
Storage;Storage&Content Delivery;Amazon Simple Storage Service;Storage Classes;Requests;AmazonS3;%Requests%Tier2;;;;;
Storage;Storage&Content Delivery;Amazon Simple Storage Service;Storage Classes;Requests;AmazonS3;%Requests%Tier3;;;;;
Storage;Storage&Content Delivery;Amazon Simple Storage Service;Storage Classes;Requests;AmazonS3;%Requests%Tier4;;;;;
Storage;Storage&Content Delivery;Amazon Simple Storage Service;Storage Classes;Requests;AmazonS3;%Requests%Tier5;;;;;
Storage;Storage&Content Delivery;Amazon Simple Storage Service;Storage Classes;Requests;AmazonS3;%Requests%Tier6;;;;;
Storage;Storage&Content Delivery;Amazon Simple Storage Service;Tagging;Tag storage;AmazonS3;%TagStorage-TagHrs%;;;;;
Cloud Services;Application Services;Amazon Simple Notification Service;HTTP;Delivery Attempts;AmazonSNS;%DeliveryAttempts-HTTP;;;;;
Cloud Services;Application Services;Amazon Simple Notification Service;SQS;Delivery Attempts;AmazonSNS;%DeliveryAttempts-SQS;;;;;
Cloud Services;Application Services;Amazon Simple Notification Service;SMS;SMS Price;AmazonSNS;%SMS-Price%;;;;;
Cloud Services;Application Services;Amazon Simple Notification Service;SMS;SMS Sent;AmazonSNS;%SMS-Sent%;;;;;
Cloud Services;Application Services;Amazon Simple Notification Service;APNS;Delivery Attempts;AmazonSNS;%DeliveryAttempts-APNS%;;;;;
Storage;Storage&Content Delivery;Amazon Simple Storage Service;Glacier;Provisioned Capacity Unit;AmazonGlacier;%ProvisionedCapacityUnit;;;;;
Storage;Storage&Content Delivery;Amazon Simple Storage Service;Glacier;Storage Usage;AmazonGlacier;%TimedStorage-ByteHrs;;;;;
Storage;Storage&Content Delivery;Amazon Simple Storage Service;Glacier;Requests;AmazonGlacier;%Requests-Tier3;;;;;
Storage;Storage&Content Delivery;Amazon Simple Storage Service;Glacier;Requests;AmazonGlacier;%Requests-Tier1;;;;;
Storage;Storage&Content Delivery;Amazon Simple Storage Service;Glacier;Early Delete Fee;AmazonGlacier;%EarlyDelete%;;;;;
